dimensao,categoria,anuncios_totais,anuncios_elegiveis,diaria_mediana_anunciada,diaria_p25_anunciada,diaria_p75_anunciada,premio_fim_semana_mediano_percentual,cobertura_elegivel_percentual,potencial_bruto_anualizado_base,status_amostra,ranking,periodo_estadias,unidade_diaria,fonte,corte_datas,tratamento_extremos
perfil_combinado,apartamento | 1 quarto(s) | 1–2 hóspede(s),53,34,385.0,372.0,444.25,4.420319264069262,64.15094339622641,77288.75,ranqueavel,8,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 4+ quarto(s) | 7+ hóspede(s),61,18,1325.0,1000.0,1700.0,0.0,29.508196721311474,265993.75,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 3 quarto(s) | 7+ hóspede(s),121,10,500.0,460.0,700.0,0.0,8.264462809917356,100375.00000000001,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 1 quarto(s) | 1–2 hóspede(s),40,14,369.5,212.25,397.5,0.0,35.0,74177.125,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 1 quarto(s) | 1–2 hóspede(s),147,15,160.0,150.0,205.0,0.0,10.204081632653061,32120.000000000004,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 4+ quarto(s) | 5–6 hóspede(s),4,1,5500.0,5500.0,5500.0,0.0,25.0,1104125.0,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 1 quarto(s) | 5–6 hóspede(s),12,1,793.0,793.0,793.0,0.0,8.333333333333332,159194.75,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 1 quarto(s) | 5–6 hóspede(s),15,5,588.16665,400.0,662.875,-1.9422968131246443,33.33333333333333,118074.45498750001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 0 (studio) quarto(s) | 7+ hóspede(s),12,2,490.4,410.6,570.2,0.0,16.666666666666664,98447.8,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 3 quarto(s) | 5–6 hóspede(s),24,2,490.0,435.0,545.0,2.083333333333337,8.333333333333332,98367.50000000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 0 (studio) quarto(s) | 3–4 hóspede(s),10,4,435.0,362.5,505.0,-0.16393442622950616,40.0,87326.25,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 2 quarto(s) | 7+ hóspede(s),37,7,406.0,355.5,473.0,0.0,18.91891891891892,81504.5,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 0 (studio) quarto(s) | 5–6 hóspede(s),13,2,369.0,283.5,454.5,0.0,15.384615384615385,74076.75,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 1 quarto(s) | 3–4 hóspede(s),62,1,330.0,330.0,330.0,0.0,1.6129032258064515,66247.5,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 2 quarto(s) | 5–6 hóspede(s),65,7,300.0,250.0,427.0,0.0,10.76923076923077,60225.00000000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 2 quarto(s) | 3–4 hóspede(s),31,3,299.0,299.0,299.5,0.0,9.67741935483871,60024.25000000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 1 quarto(s) | 3–4 hóspede(s),34,6,241.5,196.25,408.25,0.0,17.647058823529413,48481.12500000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
